trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,J,h,dt,n_trotter_steps,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h
4,13,1e-08,4,"(4, 4)",col_based,16,16,5,1.0,1.0,0.00146,1,0.9999597780083503,0.9999936470156124,0.9999983317523358,0.99999990236378,0.9999681605065687,0.999999744602864,0.9999999914867601
0,13,1e-08,4,"(6, 6)",col_based,36,36,1,1.0,1.0,0.00146,1,0.9999097874628102,0.9999857058418846,0.999996409095501,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
1,13,1e-08,4,"(6, 6)",col_based,36,36,1,1.0,1.0,0.00146,1,0.9999097651308742,0.9999857058418846,0.9999963867616303,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
2,13,1e-08,4,"(6, 6)",col_based,36,36,1,1.0,1.0,0.00146,1,0.9999097224089116,0.9999857058418846,0.9999963440359668,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
3,13,1e-08,4,"(6, 6)",col_based,36,36,1,1.0,1.0,0.00146,1,0.9999097301765412,0.9999857058418846,0.9999963518042693,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
4,13,1e-08,4,"(6, 6)",col_based,36,36,1,1.0,1.0,0.00146,1,0.9999096602678755,0.9999857058418846,0.9999962818895475,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
0,13,1e-08,4,"(6, 6)",col_based,36,36,2,1.0,1.0,0.00146,1,0.9999097874628102,0.9999857058418846,0.999996409095501,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
1,13,1e-08,4,"(6, 6)",col_based,36,36,2,1.0,1.0,0.00146,1,0.9999097651308742,0.9999857058418846,0.9999963867616303,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
2,13,1e-08,4,"(6, 6)",col_based,36,36,2,1.0,1.0,0.00146,1,0.9999097224089116,0.9999857058418846,0.9999963440359668,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
3,13,1e-08,4,"(6, 6)",col_based,36,36,2,1.0,1.0,0.00146,1,0.9999097301765412,0.9999857058418846,0.9999963518042693,0.99999990236378,0.999928362565366,0.9999994253565359,0.9999999808452105
