trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,tmr_assignment_method,consider_skip_rus,trivial_return,decompose_move,parallel_execution,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,n_cnot,n_h
2,7,"(4, 4)",1,col_based,2,matching,2,False,True,False,0.9991257245997748,0.9995222569322751,0.9999751437651155,0.9995471019098183,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,2,matching,2,False,True,False,0.9989691623919861,0.9993656325881848,0.9998484435023874,0.9995171159015747,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,2,matching,2,False,True,False,0.99914251558782,0.9995390545843162,0.9999529500442029,0.9995860850654339,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,2,matching,0,False,False,True,0.9990810568636981,0.999477571468498,0.9999724360775545,0.9995051217501578,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,2,matching,0,False,False,True,0.9990825767229667,0.9994790919309674,0.9999559578966052,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,2,matching,0,False,False,True,0.9991240944558695,0.9995206261413995,0.9999705123147865,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,2,matching,0,False,False,True,0.9990585320242151,0.9994550376893722,0.9999318921783825,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,2,matching,0,False,False,True,0.9987628790489397,0.9991592673755466,0.9996449775260593,0.999514117350227,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,2,matching,2,False,False,True,0.9990551260571238,0.9994516303705229,0.9999464821355379,0.9995051217501578,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,2,matching,2,False,False,True,0.9991116994703872,0.999508226236604,0.9999701064160483,0.999538106012889,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,2,matching,2,False,False,True,0.9991240944558695,0.9995206261413995,0.9999705123147865,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,2,matching,2,False,False,True,0.9990417179287159,0.9994382169207062,0.999930062245224,0.9995081202745186,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,2,matching,2,False,False,True,0.9987481052328139,0.9991444876959988,0.9996211940171048,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,3,matching,0,True,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,3,matching,0,True,False,False,0.9987762695287669,0.9991726631697783,0.9996883700784706,0.9994841323315067,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,3,matching,0,True,False,False,0.9991323490906736,0.9995288840522975,0.9999757740062644,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,3,matching,0,True,False,False,0.9987373007391644,0.9991336789142694,0.9996238349436741,0.999511118807875,0.99999854,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,3,matching,0,True,False,False,0.9991267929184419,0.9995233256749357,0.9999642133314697,0.999559096565001,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,3,matching,0,False,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,3,matching,0,False,False,False,0.9987762695287669,0.9991726631697783,0.9996883700784706,0.9994841323315067,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,3,matching,0,False,False,False,0.9991323490906736,0.9995288840522975,0.9999757740062644,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,3,matching,0,False,False,False,0.9987373007391644,0.9991336789142694,0.9996238349436741,0.999511118807875,0.99999854,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,3,matching,0,False,False,False,0.9989039671362328,0.999300411457783,0.9997921889652297,0.9995081202745186,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,3,matching,1,False,False,False,0.9990480942163085,0.9994445957389155,0.999951443384244,0.9994931277426701,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,3,matching,1,False,False,False,0.9990617862676302,0.9994582932243291,0.9999561481567226,0.9995021232347926,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,3,matching,1,False,False,False,0.9991324558832559,0.9995289908872634,0.9999758808889964,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,3,matching,1,False,False,False,0.998965998062089,0.9993624670024306,0.9998482759321115,0.999514117350227,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,3,matching,1,False,False,False,0.9991158950204794,0.9995124234518231,0.9999623059331636,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,3,matching,2,False,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,3,matching,2,False,False,False,0.9989711837677185,0.9993676547661594,0.9998924613217844,0.9994751370013019,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,3,matching,2,False,False,False,0.9991257245997748,0.9995222569322751,0.9999751437651155,0.9995471019098183,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,3,matching,2,False,False,False,0.9989691623919861,0.9993656325881848,0.9998484435023874,0.9995171159015747,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,3,matching,2,False,False,False,0.99914251558782,0.9995390545843162,0.9999529500442029,0.9995860850654339,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,3,matching,2,False,True,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,3,matching,2,False,True,False,0.9989711837677185,0.9993676547661594,0.9998924613217844,0.9994751370013019,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,3,matching,2,False,True,False,0.9991257245997748,0.9995222569322751,0.9999751437651155,0.9995471019098183,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,3,matching,2,False,True,False,0.9989691623919861,0.9993656325881848,0.9998484435023874,0.9995171159015747,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,3,matching,2,False,True,False,0.99914251558782,0.9995390545843162,0.9999529500442029,0.9995860850654339,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,3,matching,0,False,False,True,0.9990810568636981,0.999477571468498,0.9999724360775545,0.9995051217501578,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,3,matching,0,False,False,True,0.9990825767229667,0.9994790919309674,0.9999559578966052,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,3,matching,0,False,False,True,0.9991240944558695,0.9995206261413995,0.9999705123147865,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,3,matching,0,False,False,True,0.9990585320242151,0.9994550376893722,0.9999318921783825,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,3,matching,0,False,False,True,0.9987628790489397,0.9991592673755466,0.9996449775260593,0.999514117350227,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,3,matching,2,False,False,True,0.9990551260571238,0.9994516303705229,0.9999464821355379,0.9995051217501578,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,3,matching,2,False,False,True,0.9991116994703872,0.999508226236604,0.9999701064160483,0.999538106012889,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,3,matching,2,False,False,True,0.9991240944558695,0.9995206261413995,0.9999705123147865,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,3,matching,2,False,False,True,0.9990417179287159,0.9994382169207062,0.999930062245224,0.9995081202745186,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,3,matching,2,False,False,True,0.9987481052328139,0.9991444876959988,0.9996211940171048,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,4,matching,0,True,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,4,matching,0,True,False,False,0.9987762695287669,0.9991726631697783,0.9996883700784706,0.9994841323315067,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,4,matching,0,True,False,False,0.9991323490906736,0.9995288840522975,0.9999757740062644,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,4,matching,0,True,False,False,0.9987373007391644,0.9991336789142694,0.9996238349436741,0.999511118807875,0.99999854,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,4,matching,0,True,False,False,0.9991267929184419,0.9995233256749357,0.9999642133314697,0.999559096565001,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,4,matching,0,False,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,4,matching,0,False,False,False,0.9987762695287669,0.9991726631697783,0.9996883700784706,0.9994841323315067,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,4,matching,0,False,False,False,0.9991323490906736,0.9995288840522975,0.9999757740062644,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,4,matching,0,False,False,False,0.9987373007391644,0.9991336789142694,0.9996238349436741,0.999511118807875,0.99999854,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,4,matching,0,False,False,False,0.9989039671362328,0.999300411457783,0.9997921889652297,0.9995081202745186,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,4,matching,1,False,False,False,0.9990480942163085,0.9994445957389155,0.999951443384244,0.9994931277426701,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,4,matching,1,False,False,False,0.9990617862676302,0.9994582932243291,0.9999561481567226,0.9995021232347926,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,4,matching,1,False,False,False,0.9991324558832559,0.9995289908872634,0.9999758808889964,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,4,matching,1,False,False,False,0.998965998062089,0.9993624670024306,0.9998482759321115,0.999514117350227,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,4,matching,1,False,False,False,0.9991158950204794,0.9995124234518231,0.9999623059331636,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,4,matching,2,False,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,4,matching,2,False,False,False,0.9989711837677185,0.9993676547661594,0.9998924613217844,0.9994751370013019,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,4,matching,2,False,False,False,0.9991257245997748,0.9995222569322751,0.9999751437651155,0.9995471019098183,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,4,matching,2,False,False,False,0.9989691623919861,0.9993656325881848,0.9998484435023874,0.9995171159015747,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,4,matching,2,False,False,False,0.99914251558782,0.9995390545843162,0.9999529500442029,0.9995860850654339,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,4,matching,2,False,True,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,4,matching,2,False,True,False,0.9989711837677185,0.9993676547661594,0.9998924613217844,0.9994751370013019,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,4,matching,2,False,True,False,0.9991257245997748,0.9995222569322751,0.9999751437651155,0.9995471019098183,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,4,matching,2,False,True,False,0.9989691623919861,0.9993656325881848,0.9998484435023874,0.9995171159015747,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,4,matching,2,False,True,False,0.99914251558782,0.9995390545843162,0.9999529500442029,0.9995860850654339,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,4,matching,0,False,False,True,0.9990810568636981,0.999477571468498,0.9999724360775545,0.9995051217501578,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,4,matching,0,False,False,True,0.9990825767229667,0.9994790919309674,0.9999559578966052,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,4,matching,0,False,False,True,0.9991240944558695,0.9995206261413995,0.9999705123147865,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,4,matching,0,False,False,True,0.9990585320242151,0.9994550376893722,0.9999318921783825,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,4,matching,0,False,False,True,0.9987628790489397,0.9991592673755466,0.9996449775260593,0.999514117350227,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,4,matching,2,False,False,True,0.9990551260571238,0.9994516303705229,0.9999464821355379,0.9995051217501578,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,4,matching,2,False,False,True,0.9991116994703872,0.999508226236604,0.9999701064160483,0.999538106012889,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,4,matching,2,False,False,True,0.9991240944558695,0.9995206261413995,0.9999705123147865,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,4,matching,2,False,False,True,0.9990417179287159,0.9994382169207062,0.999930062245224,0.9995081202745186,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,4,matching,2,False,False,True,0.9987481052328139,0.9991444876959988,0.9996211940171048,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,5,matching,0,True,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,5,matching,0,True,False,False,0.9987762695287669,0.9991726631697783,0.9996883700784706,0.9994841323315067,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,5,matching,0,True,False,False,0.9991323490906736,0.9995288840522975,0.9999757740062644,0.9995530992194176,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,5,matching,0,True,False,False,0.9987373007391644,0.9991336789142694,0.9996238349436741,0.999511118807875,0.99999854,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,5,matching,0,True,False,False,0.9991267929184419,0.9995233256749357,0.9999642133314697,0.999559096565001,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,5,matching,0,False,False,False,0.9986541281219539,0.9990504732875675,0.9996110986847364,0.9994391564900523,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,5,matching,0,False,False,False,0.9987762695287669,0.9991726631697783,0.9996883700784706,0.9994841323315067,1,0.9996160731427869,0.9999872000793593,128,32
